,sigma,N_synth,ratio_stable,ratio_with_controller,controller_found
61,0.11937766417144366,16,95.7388888888889,0.72,True
62,0.1557068404753731,16,92.368,0.5,True
63,0.20309176209047358,16,89.36,0.1,True
64,0.2648969287610528,16,82.19999999999999,0.02,True
65,0.34551072945922195,16,,0.0,False
66,0.4506570337745475,16,,0.0,False
67,0.5878016072274914,16,,0.0,False
68,0.7666822074546215,16,,0.0,False
69,1.0,16,,0.0,False
70,0.03162277660168379,32,99.95599999999999,1.0,True
71,0.04124626382901352,32,99.92999999999999,1.0,True
72,0.05379838403443687,32,99.818,1.0,True
73,0.07017038286703829,32,99.52291666666666,0.96,True
74,0.09152473108773893,32,98.50731707317074,0.82,True
75,0.11937766417144366,32,96.70416666666665,0.48,True
76,0.1557068404753731,32,93.83333333333333,0.12,True
77,0.20309176209047358,32,,0.0,False
78,0.2648969287610528,32,,0.0,False
79,0.34551072945922195,32,,0.0,False
80,0.4506570337745475,32,,0.0,False
81,0.5878016072274914,32,,0.0,False
82,0.7666822074546215,32,,0.0,False
83,1.0,32,,0.0,False
84,0.03162277660168379,63,99.99,1.0,True
85,0.04124626382901352,63,99.978,1.0,True
86,0.05379838403443687,63,99.88775510204081,0.98,True
87,0.07017038286703829,63,99.56,0.9,True
88,0.09152473108773893,63,98.80666666666667,0.6,True
89,0.11937766417144366,63,97.15454545454546,0.22,True
90,0.1557068404753731,63,,0.0,False
91,0.20309176209047358,63,,0.0,False
92,0.2648969287610528,63,,0.0,False
93,0.34551072945922195,63,,0.0,False
94,0.4506570337745475,63,,0.0,False
95,0.5878016072274914,63,,0.0,False
96,0.7666822074546215,63,,0.0,False
97,1.0,63,,0.0,False
98,0.03162277660168379,125,99.994,1.0,True
99,0.04124626382901352,125,99.97999999999999,1.0,True
100,0.05379838403443687,125,99.902,1.0,True
101,0.07017038286703829,125,99.62727272727273,0.88,True
102,0.09152473108773893,125,98.86315789473684,0.38,True
103,0.11937766417144366,125,97.89999999999999,0.02,True
104,0.1557068404753731,125,,0.0,False
105,0.20309176209047358,125,,0.0,False
106,0.2648969287610528,125,,0.0,False
107,0.34551072945922195,125,,0.0,False
108,0.4506570337745475,125,,0.0,False
109,0.5878016072274914,125,,0.0,False
110,0.7666822074546215,125,,0.0,False
111,1.0,125,,0.0,False
112,0.03162277660168379,248,99.99600000000001,1.0,True
113,0.04124626382901352,248,99.99,1.0,True
114,0.05379838403443687,248,99.925,0.96,True
115,0.07017038286703829,248,99.665625,0.64,True
116,0.09152473108773893,248,98.9,0.06,True
117,0.11937766417144366,248,,0.0,False
118,0.1557068404753731,248,,0.0,False
119,0.20309176209047358,248,,0.0,False
120,0.2648969287610528,248,,0.0,False
121,0.34551072945922195,248,,0.0,False
122,0.4506570337745475,248,,0.0,False
123,0.5878016072274914,248,,0.0,False
124,0.7666822074546215,248,,0.0,False
125,1.0,248,,0.0,False
126,0.03162277660168379,494,99.998,1.0,True
127,0.04124626382901352,494,99.99199999999999,1.0,True
128,0.05379838403443687,494,99.94318181818181,0.88,True
129,0.07017038286703829,494,99.66923076923078,0.26,True
130,0.09152473108773893,494,,0.0,False
131,0.11937766417144366,494,,0.0,False
132,0.1557068404753731,494,,0.0,False
133,0.20309176209047358,494,,0.0,False
134,0.2648969287610528,494,,0.0,False
135,0.34551072945922195,494,,0.0,False
136,0.4506570337745475,494,,0.0,False
137,0.5878016072274914,494,,0.0,False
138,0.7666822074546215,494,,0.0,False
139,1.0,494,,0.0,False
140,0.03162277660168379,984,100.0,1.0,True
141,0.04124626382901352,984,99.9938775510204,0.98,True
142,0.05379838403443687,984,99.92903225806451,0.62,True
